,word,entropy
0,abaco,4.74129818511291
1,abata,3.898763322875199
2,abate,4.839950027126205
3,abati,4.989209414478371
4,abato,4.832259895496841
5,abavi,4.559548216752463
6,abavo,4.400891872518318
7,abaya,2.9910708641253434
8,abbai,3.9425484685371193
9,abbia,4.0133760336875
10,abbui,4.1805731699890405
11,abete,4.599513721323266
12,abeti,5.422133141409331
13,abile,5.433595503854293
14,abili,4.907031888403548
15,abita,4.890820414263666
16,abiti,4.891122179229844
17,abito,5.41585148183438
18,abuna,4.392543600588762
19,abusa,4.449443148795982
20,abusi,5.136168003880404
21,abuso,4.983272641651541
22,acari,5.33966317378572
23,acaro,5.1900284903573874
24,acati,5.183621504933334
25,acato,5.028454448338785
26,acazi,4.582068163725637
27,accia,4.30783143732419
28,accio,4.822114421987494
29,aceri,5.775249610085374
30,acero,5.637765941698346
31,acese,4.82800475443376
32,acesi,5.645991650717762
33,aceta,4.967143907653548
34,aceti,5.624963166355576
35,aceto,5.4838706445503105
36,achea,4.147613858357619
37,achee,3.986708568942073
38,achei,4.80121598128955
39,acheo,4.652518598204852
40,acida,4.816375382884295
41,acide,5.342804225653823
42,acidi,4.813864557523378
43,acido,5.338737369376139
44,acile,5.6375069847394235
45,acili,5.1102332951916996
46,acini,5.06654008522241
47,acino,5.587893331505507
48,acori,5.78995053110971
49,acoro,4.926740526034898
50,acqua,3.6173314694510266
51,acque,4.158811243528734
52,acqui,4.311808305788808
53,acquo,4.15374541348767
54,actea,4.868000418474017
55,actee,4.708175523416473
56,acuii,4.888458061914238
57,acume,4.944142374003978
58,acumi,5.09947011533627
59,acuta,4.610152188754507
60,acute,5.149399369973039
61,acuti,5.302432280535032
62,acuto,5.148894839884398
63,adagi,4.752527166711087
64,adale,4.903120733228626
65,adali,5.04941364443892
66,addai,3.9725973970819193
67,addii,4.030291426499304
68,addio,4.5514528857185725
69,addua,3.516915994421133
70,addui,4.205944554523027
71,adduo,4.0543532408296965
72,adesa,4.851632593946025
73,adese,4.686613146454345
74,adesi,5.502670249291835
75,adeso,5.3629837149138835
76,adima,4.732300171454629
77,adimi,4.730232095010253
78,adimo,5.256102118745198
79,adipe,5.198508337514624
80,adipi,4.668203239096936
81,adira,5.08903453498724
82,adire,5.616470894520592
83,adiri,5.081328042976846
84,adiro,5.612169971062484
85,adita,4.928790919203476
86,adite,5.461006317039366
87,aditi,4.929337962748349
88,adito,5.455532916870808
89,adiva,4.511606226457874
90,adivi,4.510526803800704
91,adivo,5.038398854168878
92,adobe,5.018991001995878
93,adona,4.807638264291313
94,adone,5.338014855664147
95,adoni,5.461782413167652
96,adono,4.598648872656816
97,adora,4.990349427209154
98,adori,5.6347085002870765
99,adoro,4.779139934580972
100,adoxa,3.912967162314383
101,adoxe,4.440318924147847
102,adula,4.479528372807716
103,aduli,5.166583893393858
104,adulo,5.0149822362455545
105,aduna,4.447755252678872
106,aduni,5.133465230895649
107,aduno,4.9839365423887525
108,adusa,4.501001222659222
109,aduse,5.036927466154869
110,adusi,5.184962269755213
111,aduso,5.03779729650404
112,aequo,4.525944918180709
113,aerai,5.559486986110144
114,aerea,4.878137639932332
115,aeree,4.375327833597548
116,aerei,5.498690126547676
117,aereo,5.355499090231532
118,afaca,3.720066857056182
119,afata,3.807819720206911
120,afate,4.7489529920350195
121,afati,4.897632873660565
122,afato,4.74184307895865
123,afeli,5.344284173422787
124,afeta,4.675514970515116
125,afeti,5.334523070230515
126,afide,5.039584454015092
127,afidi,4.510448264980448
128,afnii,4.73211268444259
129,afnio,5.245250755613402
130,afona,4.66400978443305
131,afone,5.191668465377583
132,afoni,5.322977932027677
133,afono,4.454527293729545
134,afosa,4.722745690533929
135,afose,5.2436359006799655
136,afosi,5.3721040392498045
137,afoso,4.508233275262116
138,agama,3.7176593457262705
139,agame,4.6558708198273715
140,agami,4.8064602528084635
141,agamo,4.650403026321434
142,agape,4.591599828256876
143,agapi,4.742426703055338
144,agata,3.920134119532532
145,agate,4.860928021752448
146,agave,4.435547031517804
147,agavi,4.584329642967994
148,aggio,4.591241695389297
149,agiai,4.425869401389956
150,agile,5.454669682408425
151,agili,4.927997875715011
152,agino,5.403422282668906
153,agire,5.594970422388559
154,agita,4.90918094360328
155,agite,5.440336709210422
156,agiti,4.911419238703612
157,agito,5.437007217003066
158,agiva,4.4915338574772425
159,agivi,4.493053448104302
160,agivo,5.019583374751856
161,aglio,5.39464849167437
162,agone,5.309519122526233
